filename,condition,primacy-recency,side bias,safe bias,inverse temperature,curvature for gains,curvature for losses,
FLAGTASK_PARTICIPANT_SESSION_2022-01-31_12h28.10.548.csv,sub_final,0.861348362,-0.156869476,-0.283773567,0.032630443,0.324468688,0.48516165,
FLAGTASK_PARTICIPANT_SESSION_2022-01-31_19h01.13.337.csv,sub_final,1.15777881,-0.410229486,-0.766678892,0.032985263,5.81E-06,0.282120681,
FLAGTASK_PARTICIPANT_SESSION_2022-02-01_15h37.06.271.csv,sub_final,0.819184337,0.439394567,-0.326055795,0.145144686,0.451127886,0.782989526,
FLAGTASK_PARTICIPANT_SESSION_2022-02-02_10h09.28.852.csv,sub_final,1.439088965,-0.273687963,0.39626103,0.027927544,0.425246666,0.61766228,
FLAGTASK_PARTICIPANT_SESSION_2022-02-03_01h32.05.984.csv,sub_final,1.345981449,-0.842610386,-0.070363692,-0.003127403,0.997754157,2.16E-05,
FLAGTASK_PARTICIPANT_SESSION_2022-02-03_13h38.17.479.csv,sub_final,0.962798774,0.355286853,0.069508619,0.039252317,7.64E-06,9.27E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-02-04_09h46.02.300.csv,sub_final,1.055347966,0.141621767,0.12092278,0.028641234,0.289249423,1.17E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-02-04_16h14.52.846.csv,sub_final,2.160807389,-0.171476947,-1.635039224,0.005522259,0.323025423,8.17E-07,
FLAGTASK_PARTICIPANT_SESSION_2022-02-05_16h37.20.691.csv,sub_final,0.943865638,0.062889352,-0.727629239,0.026322606,5.41E-07,1.82E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-02-05_21h05.28.535.csv,sub_final,0.812261536,-0.225187944,-1.319778129,0.010765559,0.372739383,2.03E-05,
FLAGTASK_PARTICIPANT_SESSION_2022-02-06_02h00.25.592.csv,sub_final,1.008407456,0.175173104,-0.233775447,0.042730764,0.322567758,9.78E-07,
FLAGTASK_PARTICIPANT_SESSION_2022-02-06_13h35.10.741.csv,sub_final,1.282449341,-0.138349102,-1.325841433,0.006434321,2.87E-05,4.10E-05,
FLAGTASK_PARTICIPANT_SESSION_2022-02-06_13h57.30.908.csv,sub_final,2.410808503,-0.236348152,-2.220525321,0.00828562,0.064758541,0.066904793,
FLAGTASK_PARTICIPANT_SESSION_2022-02-07_14h22.55.534.csv,sub_final,0.99970912,0.507699775,-1.711189209,0.019346765,1.708210162,5.94E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-02-09_15h33.22.784.csv,sub_final,1.294776904,0.573499879,-0.236541,0.03232731,0.592156953,5.67E-07,
