"subject","gender","mean_score","p_high"
0,2,52.9,0.85
1,2,55.6,0.74
2,1,64.5,0.89
3,1,46.7,0.82
4,1,8.5,0.46
5,2,57,0.74
6,2,46.1,0.75
7,1,39.7,0.51
8,1,64.2,0.69
9,2,52.1,0.61
10,2,70.1,0.78
11,2,45.5,0.49
12,1,52.7,0.51
13,1,56,0.62
14,2,59.7,0.75
15,1,48.4,0.78
16,2,73.8,0.8
17,1,52.6,0.72
18,2,55.3,0.8
19,2,62.8,0.77
20,1,63.9,0.8
21,1,58.8,0.56
22,2,69.3,0.82
23,1,19.4,0.53
24,1,69.8,0.81
25,1,61,0.86
26,2,34.3,0.58
27,2,53.2,0.8
28,1,45.6,0.45
29,1,59,0.8
30,1,44.4,0.57
31,1,38.5,0.56
32,2,53.6,0.7
33,1,62.7,0.75
34,1,67.3,0.7
35,1,47.1,0.65
36,2,47.2,0.75
37,1,61.8,0.74
38,1,50,0.65
39,1,57.4,0.88
40,2,32.7,0.43
41,1,42.3,0.87
42,1,47,0.51
43,1,61.7,0.83
44,1,45.6,0.52
45,1,72.1,0.71
46,1,42.5,0.76
47,1,42.9,0.76
48,2,67.6,0.79
49,2,46,0.65
50,2,54,0.56
51,2,29.7,0.75
52,2,51.8,0.78
53,2,65.6,0.78
54,2,57.7,0.53
55,2,69.8,0.82
56,2,70.5,0.65
57,1,18.8,0.44
58,1,69.5,0.79
59,2,36.1,0.51
60,2,66,0.68
61,1,47.7,0.53
62,2,62.5,0.66
63,2,51.7,0.73
64,1,77.6,0.78
65,2,38.8,0.61
66,1,60,0.65
67,2,30.9,0.54
68,1,55.7,0.78
69,2,63.3,0.71
70,2,63.5,0.74
71,2,17.2,0.45
72,2,45.4,0.64
73,2,64,0.75
74,2,65.2,0.82
75,2,28.3,0.58
76,2,55.1,0.62
77,1,67.9,0.68
78,1,42,0.49
79,2,72.8,0.79
80,2,46,0.84
81,1,54.1,0.75
82,2,46.2,0.83
83,2,44.7,0.58
84,1,56.4,0.71
85,1,74.5,0.85
86,2,58.6,0.64
87,2,55.9,0.8
88,1,65.2,0.82
89,1,34.6,0.59
90,1,55.3,0.73
91,2,52,0.72
92,2,58.5,0.71
93,2,62.4,0.82
94,2,63.6,0.83
95,2,29.6,0.47
96,2,55.9,0.76
97,2,69.8,0.75
98,2,55,0.79
99,2,62,0.67
100,2,60.8,0.75
101,2,70.9,0.83
102,1,16.5,0.43
103,2,53.3,0.8
104,2,46.7,0.74
105,2,42.8,0.62
106,2,53,0.71
107,1,63.5,0.77
108,2,49.2,0.77
109,1,52.6,0.62
110,2,74.9,0.72
111,1,47.2,0.64
112,1,67.4,0.75
113,2,65.3,0.77
114,2,40.5,0.59
115,2,60.6,0.81
116,1,66.3,0.72
117,2,57,0.78
118,2,78.5,0.8
119,1,41.6,0.6
120,2,67.2,0.81
121,1,51.6,0.55
122,1,54.1,0.74
123,1,65.8,0.78
124,1,66.4,0.78
125,1,77.2,0.76
126,1,43.6,0.76
127,2,50.8,0.78
128,2,57.8,0.67
129,2,36.7,0.78
130,1,66,0.78
131,2,66.9,0.78
132,2,58.9,0.74
133,1,65.8,0.87
134,1,49.2,0.88
135,2,45.1,0.57
136,1,54.1,0.86
137,2,6.9,0.32
138,2,27.5,0.65
139,1,68.7,0.78
140,2,46.9,0.73
141,1,49.9,0.64
142,2,65.4,0.81
143,2,50.9,0.56
144,1,68.3,0.72
145,2,37.5,0.69
146,1,20.8,0.57
147,1,46.4,0.55
148,1,69.9,0.87
149,2,76.1,0.68
150,2,68.4,0.89
151,1,68,0.72
152,2,33.2,0.87
153,1,54.9,0.68
154,2,69.2,0.71
155,1,50.3,0.71
156,2,57.3,0.87
157,2,62.7,0.68
158,1,49.4,0.56
159,2,58.4,0.76
160,2,41.4,0.68
161,2,37.3,0.63
162,2,22.1,0.72
163,2,63.6,0.77
164,1,56.9,0.75
165,1,54.5,0.74
166,1,75.1,0.78
167,2,47.9,0.67
168,2,47.3,0.64
169,2,45.8,0.64
